date,aapl.us,adbe.us,amat.us,amd.us,amzn.us,googl.us,intc.us,meta.us,msft.us,mu.us
2010-09-23,-0.0060622543,0.021126002,0.0065969527,0.01774817,0.0038564466,-0.013981044,0.0029126704,-0.012772113,0.0065951943,0.0066075586
2010-09-24,-0.0033262372,0.0018588454,-0.00022798777,0.006220758,-0.00070113316,-0.0027074963,-0.001392901,-0.002876848,-0.005069092,-0.001742933
2010-09-27,-0.007059619,0.0008917153,-0.005169213,0.0023507327,-0.0023819841,-0.007937118,-0.004573211,-0.0064210296,-0.012284592,-0.0019322746
2010-09-28,0.0010852888,-0.0013044178,0.00038167834,0.0023652315,-0.0008454956,-9.907782e-05,-0.002282232,0.00057280064,-0.0047058836,-0.00038804486
2010-09-29,-0.0023992136,0.004130617,-0.0019750297,0.008896939,-0.0013424493,-0.0039966404,-0.0017272085,-0.0046881735,-0.0040239543,-0.00013712794
2010-09-30,-0.0029887408,0.0013492107,0.0018778741,0.002961032,-0.0012910403,-0.0031907558,-0.0011206865,0.00079384446,-0.007296622,0.0014281534
2010-10-01,0.0018286034,-0.0006220639,-0.0009069294,0.0050885975,-0.0018053688,8.608401e-05,-0.0015921146,-0.00024831295,-0.005055867,-0.0012090951
2010-10-04,0.001408048,-0.0011612922,8.6054206e-05,0.0034068748,-0.0023449995,0.00010713935,-0.0018037707,-0.0010282397,-0.00659924,0.00014018267
2010-10-05,-0.00086447597,0.0045287013,0.000952363,0.0067687556,0.00019955263,-0.00084480643,0.0026691258,0.0011756122,-0.0036805198,0.0008239411
2010-10-06,-0.0006873384,-0.0029478222,-0.0045294464,0.0035462677,-0.00156698,-0.0030020773,-0.0045988113,-0.007048756,-0.007073097,-0.0067433976
2010-10-07,0.0050108805,-0.0016258955,0.0017970651,0.0022349432,-0.003392402,0.0004053712,-0.004743457,-0.002592057,-0.0061481073,-0.0014002137
2010-10-08,0.001922369,-0.008914545,-0.0031460226,-0.003968537,-0.0054391064,0.003821224,-0.004387021,0.00189282,-0.015339062,-0.006283138
2010-10-11,-0.0035195276,0.0056515336,0.0024751276,0.0059932396,-0.0017668344,-0.008339301,-0.002583906,-0.005891472,-0.0071256384,0.0025195517
2010-10-12,0.0012597293,-0.0024400502,0.0009138584,0.0015932918,-0.0023686923,-0.0005583167,-0.0034647584,-0.00038063526,-0.00740052,-0.00040815026
2010-10-13,-0.00049327314,-0.00060606,-0.0023804158,0.0037308857,-0.002743367,-0.0029969364,-0.0042369068,-0.0046560764,-0.008538783,-0.0043899417
2010-10-14,0.0015975535,-0.0025929809,0.0002604425,0.004919313,-0.0011085011,-0.0024900734,-0.003967181,0.0018343627,-0.0058365613,-0.004368365
2010-10-15,0.001264222,0.0013407767,0.00053595006,0.004160002,-0.0023614205,-0.0011187941,-0.0022872388,-0.0039693415,-0.0065385327,-0.0019195937
2010-10-18,0.0029812679,-0.008967623,-0.0062631965,-0.0067451373,0.00012552366,0.00065529346,0.0003502667,-0.0011178255,-0.012485385,-0.00026793405
2010-10-19,0.004451409,-0.0038630813,-0.00047682226,0.0011935383,-0.0014700629,0.00014393032,-0.0029020011,-0.000664711,-0.0069533065,-0.0014389455
2010-10-20,0.001735568,0.0022400022,0.0024324358,0.006222151,-0.00017840043,0.002524808,0.00076785684,0.0009149611,-0.002404347,0.003890302
2010-10-21,0.00024793297,-0.001289323,-0.002382815,0.0031567886,-0.0039300956,-0.0027243197,-0.0046449155,-0.005132556,-0.0106878355,-0.002949886
2010-10-22,-0.00049272925,0.003599748,-0.0026126504,0.0062014014,-0.0008275546,-0.004020214,-0.003291905,-0.0053833723,-0.004726775,-0.0028190948
2010-10-25,-0.004075356,0.0007622391,-0.0035075694,0.0059689954,-0.0013995804,-0.0032616407,-0.0016087145,-0.0020759702,-0.00854218,-0.0023599751
2010-10-26,-0.0021464974,-0.00016696751,0.0006222278,0.0023836344,-0.001120124,-0.002143249,-0.0026673228,-0.00096303225,-0.0071292,0.0008293949
2010-10-27,0.004571207,-0.00086569786,-0.0020920038,0.004349306,-0.0027963854,-0.0032069832,-0.007839635,-0.0045627356,-0.0049302503,-0.0049792714
2010-10-28,-0.0011795685,-0.0005376786,-7.2553754e-05,0.0051709563,-0.0022212304,-0.003154844,-0.0043878853,-0.001642257,-0.0068721175,-0.00073171407
2010-10-29,0.001507923,-0.0005015135,-0.0008787513,0.0044356138,-0.0016179718,-0.0020444691,-0.005643338,-0.0020231009,-0.004710838,-0.000509236
2010-11-01,-0.0017353892,0.0004632473,-0.00084900856,0.0081547275,-0.0017525293,-0.004724279,-0.0021796674,0.0022658706,-0.007854,-0.0018755198
2010-11-02,0.0050626993,-0.0026633143,-0.0005039871,0.0024834648,-0.0032346286,0.0002619475,-0.0067082196,-0.005801469,-0.0050051585,-0.003057979
2010-11-03,-0.00089821965,-0.0035493225,-0.0011580437,0.0031120926,-0.0020702817,-0.002358526,-0.0050378293,-0.00034412742,-0.00838346,-0.005777072
2010-11-04,-0.0022267476,0.0017960072,-0.000717178,0.004388474,-0.0011783876,-0.0018704534,-0.0004995316,-0.003592819,-0.0070981607,-0.00044267252
